player_id,ppg,rpg,apg,pie
1628369,32.3,7.2,4.1,17.8
203943,2.1,3.3,0.4,3.1
1627759,25.3,6.8,3.3,12.2
201568,11.7,4.7,1.5,9.9
1628401,8.4,3.4,2.9,7.7
1630202,4.5,1.8,1.2,6.6
1629684,9.5,4.8,1.9,9.3
1627763,13.7,3.8,3.5,13.5
1631120,,1.0,1.0,28.6
1629662,2.4,1.5,0.4,6.5
1630573,7.5,2.0,0.6,9.8
203935,10.5,3.1,7.0,7.9
1628436,3.3,3.2,1.3,9.6
201143,11.2,6.1,2.1,9.9
1629057,10.0,9.6,2.0,14.0
1628382,2.0,0.3,0.3,3.0
201933,4.0,3.0,0.8,6.8
1626220,10.3,4.6,4.1,6.4
203933,15.5,3.5,1.3,7.2
1628410,7.8,1.8,1.5,9.2
1630561,3.6,1.3,0.6,4.5
201142,30.6,6.6,5.3,19.3
201988,5.4,0.8,0.9,7.9
1627732,5.2,6.2,5.9,7.5
202681,26.9,5.1,5.1,13.6
203925,7.8,3.6,2.0,6.4
202693,2.5,2.0,1.1,4.4
1630556,0.5,0.3,0.3,5.8
1629139,6.1,2.6,0.6,9.9
1630549,2.4,3.2,0.6,4.7
1630560,9.3,1.8,2.2,10.1
203552,9.8,1.6,2.2,10.4
1631214,,,,
1629651,11.9,9.1,1.2,13.7
1629629,8.3,1.8,1.1,5.8
1630167,10.1,3.9,1.1,12.8
1630540,,,0.5,-7.7
1631211,,1.0,,
201565,6.2,1.9,2.2,9.0
1630193,8.8,4.9,3.2,11.2
1629656,2.0,0.6,0.4,0.6
1629628,18.9,5.4,2.8,9.1
1628973,19.5,3.5,6.8,14.3
203095,6.9,2.1,1.7,4.4
1629004,3.0,0.7,,45.0
1629011,6.5,6.4,1.0,8.5
203944,20.8,9.1,3.4,11.9
1630624,,0.5,0.5,-8.3
1630579,2.9,3.0,0.1,7.8
1627853,,0.7,0.3,10.0
1628392,7.8,8.3,0.9,9.3
1630178,22.8,3.4,4.4,10.4
201935,22.0,7.0,10.0,17.4
1626149,4.3,2.1,0.4,7.9
1629001,8.8,4.3,2.7,9.7
1630531,2.5,1.0,,30.8
202699,14.7,6.2,2.9,11.6
200782,4.9,4.4,0.8,4.4
1629003,3.9,2.0,1.4,5.2
1627777,8.4,1.9,0.7,8.1
203954,32.3,10.1,4.1,20.8
1629680,1.5,1.5,0.6,3.3
1627863,3.9,1.7,0.8,4.3
1627788,2.8,0.8,0.6,15.3
1630701,,,,
1630194,0.5,1.6,0.1,1.3
1630577,,,,
1628384,17.2,6.1,1.8,9.8
1630567,13.8,6.6,4.9,10.6
1630173,8.8,7.0,1.3,10.5
1631199,,,,-4.7
1630551,3.0,1.5,,16.5
1630288,2.0,0.5,1.0,9.6
201152,3.4,2.7,1.2,8.1
1630201,5.6,1.0,0.6,7.1
1627832,18.4,3.7,6.8,12.2
203920,2.3,1.3,0.3,5.1
1628449,11.4,5.5,0.6,10.6
203490,6.3,2.6,1.1,10.0
1629018,16.6,1.9,1.4,7.7
1631132,3.7,3.4,0.5,2.3
1627823,2.0,2.3,0.9,8.0
1627783,24.8,9.3,7.7,16.8
1630625,4.9,1.2,0.9,9.7
1629632,8.1,1.7,1.7,4.1
1628366,13.0,5.4,5.1,9.7
203083,8.6,9.6,0.9,17.1
1627884,5.8,2.7,0.6,9.5
1627936,4.4,3.3,3.8,6.1
201609,10.1,1.9,3.6,10.5
203897,21.9,3.9,4.1,11.5
202696,16.0,11.5,2.9,13.3
201942,23.9,3.9,4.2,13.6
1630245,11.7,3.8,3.2,8.0
1628396,0.5,1.3,,13.8
1630792,,0.3,,66.7
1630250,,,,-10.0
1629750,6.0,3.2,0.9,8.2
1631207,1.1,0.3,0.5,3.8
1628961,0.8,1.3,0.1,0.5
1630172,9.3,3.7,0.8,6.6
201567,12.2,7.5,2.6,17.1
1627747,13.8,4.8,5.3,8.3
1630596,14.8,7.5,2.2,10.1
1630205,5.3,1.8,0.3,5.3
1629685,2.2,1.8,0.7,6.9
1629636,21.1,2.3,8.0,11.2
201937,13.1,4.1,6.6,11.1
1630600,3.0,1.0,,18.2
1626224,8.9,2.4,1.8,6.6
203526,3.6,1.5,1.6,9.2
1629603,0.7,0.7,,3.4
1628386,14.0,11.5,1.2,13.9
1629731,7.3,3.3,1.0,8.2
201577,3.8,1.6,0.4,8.0
1630171,2.6,1.5,0.4,-0.1
1628378,31.6,4.7,6.1,17.0
1631105,6.5,7.4,0.4,8.9
1630595,19.9,6.2,6.0,10.9
203457,2.8,3.8,0.8,8.8
202692,17.0,2.0,1.0,7.5
1628977,5.6,3.0,0.7,5.3
1630165,5.3,2.5,3.6,3.6
1630296,2.0,0.5,,16.7
1630587,5.8,2.8,0.5,4.9
203585,1.0,0.8,0.2,2.6
202709,3.5,0.9,2.4,7.8
1628995,1.8,1.0,0.1,-4.3
1631093,15.8,5.1,3.8,9.3
1631205,,,,
1630191,12.2,9.7,1.4,10.9
1628963,4.0,4.0,1.0,10.2
1630180,16.1,4.6,1.4,9.2
202711,20.3,3.4,1.9,11.4
1630169,20.5,4.8,10.3,15.9
1631097,19.9,3.9,2.3,11.1
1629614,6.6,2.3,3.4,6.9
1630537,8.9,2.1,1.0,5.6
1630243,4.3,1.6,0.4,10.8
204456,3.8,2.3,3.3,7.1
1631112,,,,
1629052,2.0,1.6,0.3,3.1
201949,3.7,2.3,1.3,4.3
1630678,2.4,1.9,0.6,3.7
1630543,8.6,5.4,1.2,10.6
1630174,7.8,3.3,1.8,5.5
1627741,18.8,5.5,3.2,11.2
1630188,11.0,7.6,1.1,8.8
1628464,8.2,4.9,0.9,9.0
1626167,17.9,8.7,1.4,13.8
1629048,4.5,3.4,1.5,7.1
1630699,6.1,3.2,0.3,4.4
201588,5.5,1.8,2.6,5.4
1628975,9.2,2.4,3.1,7.0
204060,7.2,2.9,3.5,7.7
1626171,13.3,11.0,2.0,15.6
201572,15.8,6.4,1.0,11.3
1628960,10.8,2.8,2.7,8.9
1629670,5.8,4.1,0.8,6.0
1631260,,,1.0,9.1
201950,19.6,5.7,7.9,15.8
203114,20.1,5.4,5.4,12.2
202083,3.7,2.5,0.7,3.6
1626192,9.9,4.2,1.3,8.9
201586,4.3,3.3,0.3,8.7
203507,31.8,12.2,5.3,24.4
203648,,0.8,0.2,3.4
1630572,1.3,1.8,,2.8
1626163,2.0,1.2,0.6,6.5
1630552,4.2,3.2,0.7,8.8
1630235,,0.5,0.8,1.7
1628988,5.1,1.3,1.8,5.1
1627749,21.7,6.3,8.0,15.5
1629633,1.0,1.0,,-6.7
203200,6.2,1.2,1.2,3.6
1629027,27.4,3.2,9.3,13.5
1629631,15.0,3.9,0.9,6.3
203992,15.1,4.0,3.1,9.8
1631100,6.9,1.6,0.6,11.5
203991,10.8,12.0,0.6,13.8
1630168,8.3,5.7,1.0,11.8
1628381,12.4,7.9,1.1,9.5
1631213,1.4,0.2,,7.5
1630249,1.6,0.4,0.2,11.3
1630163,15.0,6.0,6.0,7.2
1630547,6.3,2.4,1.5,3.9
1626179,21.9,5.4,5.6,10.6
1630208,10.1,6.1,0.8,13.8
1631109,3.7,2.7,,12.7
1629667,9.9,5.1,2.4,9.0
1631121,3.2,0.4,0.2,10.8
1628372,10.2,3.6,6.2,10.6
1630177,4.1,2.1,2.2,10.3
1628998,,,,
1626162,18.5,4.8,1.3,8.9
202330,17.4,4.3,4.1,11.1
1630550,2.7,2.2,0.6,5.5
1630539,1.8,0.2,0.3,9.0
203486,9.1,8.8,4.2,11.5
1629023,14.6,4.4,1.5,6.8
1629216,9.8,2.2,2.9,6.4
203506,12.4,2.9,3.5,13.0
1631107,2.3,0.5,0.3,2.4
200768,13.0,4.8,5.8,9.9
1631288,3.0,,,27.6
1628389,18.2,9.1,3.5,12.6
1629639,19.6,6.4,2.6,13.5
1628997,8.1,4.4,1.8,6.2
203473,5.8,3.4,0.7,10.0
202710,22.1,6.5,6.1,16.4
1629312,0.3,0.7,,
1631115,,,,
1629622,15.5,3.9,1.9,8.8
2617,1.5,1.0,,4.6
1629130,6.5,2.4,1.4,5.6
1630209,5.3,5.3,0.9,12.7
1628371,11.9,6.8,1.4,10.8
1631216,3.1,1.8,0.4,2.4
1629643,5.8,4.5,1.7,8.0
1630591,13.0,2.8,4.9,7.2
1631094,23.5,8.3,3.6,14.8
1630284,3.9,2.3,0.6,2.8
1629626,11.5,7.5,0.5,15.2
1628964,6.3,3.7,1.0,9.6
1630181,6.5,1.6,1.4,10.0
203914,11.1,2.0,1.8,6.6
1628365,10.8,2.7,5.5,13.4
1629021,9.0,3.7,1.4,12.4
1630532,18.3,4.0,4.5,10.5
1629678,1.6,1.0,,3.5
203082,10.2,2.7,1.3,6.9
1628976,16.0,9.5,3.1,13.1
1630175,15.5,4.8,4.3,10.2
1631098,1.2,0.8,0.4,-2.6
203078,21.6,3.6,5.7,12.9
203115,9.1,3.5,2.5,8.4
204001,20.5,8.2,2.4,14.0
1630692,6.9,4.3,3.1,14.8
1629060,11.3,4.9,0.9,9.3
1630166,6.9,4.4,1.9,5.7
1630176,,,,-25.0
1630225,0.7,,,
1630264,3.8,1.8,0.7,5.9
1630648,1.5,,0.5,11.8
1629655,5.9,3.9,0.6,11.1
1628420,8.7,3.9,5.1,9.2
1630557,8.8,2.2,1.7,9.7
1628398,18.4,7.9,2.7,11.1
1626153,6.5,2.5,3.3,13.6
201959,2.5,1.0,0.5,15.3
1631128,4.0,2.2,1.2,6.2
1629008,18.0,6.4,1.3,11.4
1630538,14.0,1.7,3.7,9.7
203484,11.8,3.6,2.7,8.0
201599,5.5,4.9,0.7,12.9
1631212,1.5,0.8,,12.8
1628432,1.7,0.4,0.1,-0.5
1631298,,0.5,,16.7
1628971,10.0,3.9,4.2,8.4
202397,0.8,0.4,0.4,-8.0
203999,20.8,9.5,8.9,19.0
1631221,,,,
1630192,2.0,0.9,,5.6
1627750,16.2,3.5,4.3,9.8
1628427,1.0,0.3,,7.5
201145,7.8,2.8,1.2,7.0
203932,14.5,6.8,2.5,11.0
1626156,14.4,3.4,6.2,9.6
1630162,20.9,5.6,3.7,9.5
1630183,11.2,3.4,1.1,6.0
1629669,10.9,2.8,2.3,9.9
203937,6.1,2.9,2.9,10.3
1629162,3.2,2.0,3.8,9.3
1631111,,,,-15.4
1631169,,,,
1627854,3.3,0.6,1.0,4.6
1629675,8.4,2.7,0.3,11.1
1627752,8.2,2.6,1.1,6.7
1630233,0.6,1.0,,9.8
203085,1.3,0.6,0.3,4.8
203497,14.0,12.9,1.0,14.3
1626157,21.3,9.3,5.2,15.1
1630568,5.8,3.1,0.6,7.5
1628983,31.1,4.4,5.7,18.2
1630581,14.7,7.3,5.7,11.2
1629652,13.5,4.3,2.4,6.9
1631119,3.0,3.5,1.0,23.7
1631096,,,,
1631114,7.8,2.1,2.4,7.5
1630198,3.8,0.9,0.6,13.1
1630322,1.5,1.0,,-0.7
1631172,3.3,2.2,1.7,6.2
1630197,9.4,5.2,1.6,8.7
1630598,6.0,4.1,2.0,7.5
1630544,11.1,3.1,2.2,7.9
203488,7.1,4.2,0.7,10.8
1629026,5.8,4.3,1.7,7.6
1630526,8.3,3.9,0.8,9.1
1629647,6.0,4.7,1.5,11.0
1630647,7.2,2.0,0.3,8.6
203081,28.6,5.0,6.0,16.2
1627780,7.1,3.5,0.9,11.4
1629014,22.3,3.0,4.1,10.0
1630570,5.0,3.2,2.6,9.7
1630535,2.5,0.3,,5.9
1630553,7.0,2.5,1.7,3.9
203924,20.7,4.7,2.7,11.2
1629642,6.6,2.5,0.9,11.0
1628404,8.8,8.7,4.4,8.9
1631101,9.0,2.6,0.4,7.2
1631219,2.0,1.0,,29.4
1629234,5.5,3.8,0.8,8.2
1626159,7.9,4.8,3.5,8.1
203994,13.0,11.2,2.5,13.2
1630846,7.0,4.2,0.9,7.9
1631133,2.9,2.5,1.0,15.0
1629659,7.8,2.8,2.5,11.0
203903,18.1,4.3,4.7,10.7
1629012,14.0,2.9,1.8,9.9
1627736,12.2,3.5,1.2,9.3
1629638,2.9,0.7,1.1,6.4
1629020,8.6,8.2,2.7,10.5
1630195,1.3,0.3,0.7,-4.7
201144,10.8,2.3,8.1,10.2
1631323,2.1,0.9,,2.6
1628962,2.0,1.8,0.2,52.2
200752,4.5,3.4,0.8,6.1
1628374,21.8,8.6,2.2,15.1
1631117,5.4,5.3,0.7,12.3
1630695,2.0,1.5,0.5,22.0
1630534,3.3,1.7,0.2,4.1
1630548,,,,
203482,,,,
1630228,4.2,1.7,0.6,2.3
1628978,4.0,1.6,1.6,3.5
203210,4.6,4.7,0.6,7.0
1631157,1.8,0.3,0.3,-5.8
1629673,15.6,1.8,4.5,8.1
1630541,6.2,2.2,0.5,5.5
1626172,6.5,7.1,3.2,9.1
1631116,,,,-5.3
2738,4.0,3.2,3.7,10.3
1629660,6.0,1.0,1.9,10.8
202691,14.7,3.4,2.5,5.9
203952,19.0,5.9,2.5,10.5
203110,8.3,6.4,6.7,9.2
201939,32.8,6.8,6.5,19.6
1630164,7.3,4.0,0.9,10.1
1630237,7.4,3.0,1.2,8.5
202704,10.1,2.2,4.2,6.4
202695,12.5,6.5,2.0,16.4
1630527,2.6,0.4,,10.1
1628379,8.3,3.3,0.6,8.1
1629650,2.6,1.4,,14.3
1629599,2.4,0.7,0.5,5.9
202694,14.7,6.0,2.2,11.1
202322,12.6,2.3,5.1,11.8
202331,24.7,5.9,4.5,14.0
1629611,6.4,2.9,1.4,9.2
1630554,,,,-21.4
203496,4.1,3.3,1.1,9.1
1626181,11.9,2.7,1.3,7.1
1631217,1.5,1.0,0.5,20.6
201587,3.5,3.8,1.5,6.3
1627826,10.6,11.2,1.3,12.2
201566,16.3,5.5,7.2,11.4
203076,24.3,11.2,2.5,16.2
1629022,16.5,2.5,1.7,8.4
2544,24.9,8.8,6.9,15.3
1628972,9.5,5.1,0.8,6.9
1631108,3.1,2.6,0.5,10.5
1629134,4.7,1.5,1.3,1.8
1630590,1.5,1.0,,-16.7
1630559,8.5,3.2,1.6,7.4
203471,,,,
1631306,,1.0,1.0,20.0
201976,4.6,3.7,3.0,4.1
1627745,3.0,2.7,0.3,8.1
1628418,7.4,4.0,0.9,10.6
1629117,4.7,2.5,0.7,7.9
1630346,4.7,1.3,0.3,3.4
1629308,2.6,2.1,0.5,3.6
1628470,5.8,3.8,1.3,7.9
1626164,26.7,4.5,5.6,14.6
1629006,1.1,1.2,,2.5
101108,9.5,4.5,9.4,13.1
1630613,1.8,,0.2,-5.4
1627814,6.4,2.4,1.1,8.1
1629111,7.8,4.5,0.9,11.2
1630688,2.4,1.2,0.3,4.3
1629013,7.0,0.7,1.2,6.3
1626166,12.1,2.5,3.7,12.6
202687,3.6,3.5,0.6,8.2
203967,2.4,2.9,0.9,6.7
1629028,14.5,7.3,1.5,12.1
1629661,13.0,3.4,1.8,10.4
1628969,15.7,5.2,3.2,11.0
203109,9.4,5.3,1.9,7.7
1628370,11.8,2.3,4.3,10.8
1629056,6.4,2.5,1.3,10.0
1628368,25.5,5.1,6.0,15.7
1629002,4.8,2.5,1.0,10.3
203521,2.7,0.7,1.3,3.2
1628989,16.6,2.9,3.2,10.0
1627734,17.9,11.3,6.3,15.5
1631099,12.7,3.7,1.2,6.2
1630558,6.8,1.3,1.8,5.2
1631320,,2.0,1.0,-11.3
1626158,4.0,2.9,,6.9
1631165,,,,
203458,0.3,0.7,,-3.3
1629644,0.5,1.0,0.3,1.2
203084,10.9,5.4,2.1,7.9
1626168,6.0,2.5,1.0,7.6
1629674,3.0,2.1,0.4,6.2
201580,4.2,3.0,0.2,8.5
1629033,1.0,1.0,0.5,16.1
1630267,1.0,,1.0,8.4
1630702,,0.7,0.3,-17.1
203939,6.3,3.8,0.2,8.8
1630182,6.3,2.3,0.9,8.2
1627827,8.3,4.0,0.8,4.9
203501,11.7,1.8,2.0,7.6
1628373,,2.0,1.0,
1628416,9.0,2.0,,47.7
1630593,2.0,2.0,2.0,13.5
203493,4.7,2.9,1.0,2.1
203915,18.5,3.5,4.7,13.8
1626174,15.9,7.5,0.8,14.8
1628467,4.8,3.8,0.9,5.1
202722,5.6,2.1,0.6,6.0
1629029,34.3,8.7,8.1,22.6
1631102,,,,
1631095,10.3,6.8,0.8,4.4
1629645,19.2,5.7,5.8,9.8
1630224,21.8,4.0,2.8,9.8
1630620,,,,
1630231,11.2,5.0,1.6,9.5
1630256,8.3,4.3,3.3,6.3
1630528,2.7,1.6,0.6,4.5
201569,12.9,2.0,3.4,8.5
1631309,3.0,,,18.8
1630227,3.5,1.3,2.2,6.0
1630586,3.7,5.5,1.1,10.1
1631106,8.3,4.9,1.2,10.4
1628981,5.5,6.5,4.5,15.6
1629726,4.2,0.8,0.4,4.0
1630578,16.1,9.1,2.0,14.4
1626246,1.4,1.2,0.2,15.2
1631113,2.3,1.0,2.0,4.6
1630214,3.5,2.9,0.8,5.6
1631222,5.5,3.6,0.7,6.0
203500,6.8,11.4,2.7,10.5
1631246,0.7,1.0,0.7,
1631254,3.0,0.7,0.3,3.3
1630583,9.8,6.2,0.9,8.2
1630533,8.1,2.1,1.0,5.5
1629630,28.8,6.0,7.0,19.1
1628991,16.3,5.8,1.1,9.6
201980,5.9,2.5,1.0,5.4
1629634,9.6,3.9,1.4,11.1
1626145,10.9,1.7,3.9,9.6
1630217,24.7,4.9,4.8,14.5
1628415,15.5,3.5,2.1,7.0
1631223,5.7,2.7,0.6,4.7
1629723,6.8,5.5,1.1,8.6
1630604,,,,
1631220,,,,
1629627,23.5,6.4,3.9,14.2
203468,17.8,5.5,6.3,10.2
1628984,4.9,1.2,2.4,7.8
1630529,10.4,3.6,2.0,5.6
1630230,6.9,2.8,1.4,6.7
1626195,4.0,4.0,0.3,9.5
1629637,0.4,1.0,0.6,-0.7
1630700,4.2,2.2,1.2,12.2
1630184,5.9,1.6,2.0,7.9
1627742,21.4,5.8,4.0,12.4
1630631,7.7,2.0,2.8,7.9
202685,13.8,10.1,2.1,15.1
1626204,9.3,5.7,2.3,12.6
1630530,11.5,4.5,1.4,9.1
202066,3.0,0.5,0.5,6.5
1629640,23.6,5.3,3.7,12.4
1626196,11.3,2.2,2.9,7.7
1631110,7.2,3.8,1.6,5.9
1631104,8.0,1.0,2.0,9.8
203926,10.0,2.2,1.4,6.6
1629676,2.8,2.0,1.1,8.7
1631103,6.0,2.3,2.0,3.7
1628380,8.3,4.7,2.8,11.0
1630170,21.0,4.1,3.8,13.5
1627751,12.6,9.8,3.8,13.2
1631230,2.0,1.0,3.0,3.1
1629646,6.8,8.0,1.8,19.0
1628966,6.7,2.2,0.4,9.6
1630200,12.3,3.8,6.6,10.0
1629641,4.3,2.0,0.4,2.6
203476,3.5,2.0,1.8,7.3
1631160,1.0,0.3,1.0,
